1.00,0.48,3.44,8.00,3.52,1.76,6.32,0.80
2.00,1.12,3.84,7.92,3.36,2.56,5.52,0.80
3.00,0.63,4.50,7.92,5.13,3.24,6.12,0.90
4.00,0.90,5.22,7.38,5.22,2.88,6.21,0.90
5.00,1.20,5.60,8.10,5.20,2.60,8.00,1.00
6.00,1.14,2.76,5.82,2.70,2.16,4.44,0.60
7.00,0.06,2.76,5.58,3.18,1.44,3.72,0.60
8.00,0.27,4.41,7.29,4.05,3.60,6.93,0.90
9.00,0.21,3.57,6.65,2.94,2.45,4.62,0.70
10.00,0.65,2.05,4.10,2.15,1.05,3.60,0.50
11.00,0.14,3.71,6.02,3.08,1.40,4.41,0.70
12.00,0.90,4.14,8.10,3.69,1.98,6.75,0.90
13.00,0.84,3.08,6.72,3.50,1.47,4.27,0.70
14.00,1.26,3.57,5.95,4.06,1.40,4.62,0.70
15.00,0.66,3.48,5.22,2.76,2.10,4.44,0.60
16.00,0.30,2.65,4.25,2.00,1.60,3.85,0.50
17.00,1.52,4.40,7.84,4.00,2.88,6.08,0.80
18.00,0.12,3.00,5.70,3.30,1.74,3.60,0.60
19.00,0.35,2.20,4.80,2.80,1.95,3.15,0.50
20.00,0.60,2.46,4.86,2.76,1.92,4.68,0.60
21.00,0.84,3.50,5.60,3.50,2.31,5.25,0.70
22.00,0.54,4.32,7.65,5.40,3.06,6.12,0.90
23.00,0.49,3.57,6.86,3.64,1.89,4.55,0.70
24.00,1.17,4.05,7.65,5.40,2.07,6.57,0.90
25.00,0.72,2.52,6.00,2.52,2.40,4.02,0.60
26.00,0.63,3.36,5.60,2.94,2.45,4.41,0.70
27.00,0.60,2.40,5.52,3.12,1.62,4.02,0.60
28.00,0.36,4.86,7.47,3.87,2.88,5.76,0.90
29.00,1.52,3.44,7.12,3.60,2.72,5.84,0.80
30.00,0.05,2.75,4.15,2.75,1.10,3.10,0.50
